unit,status,no_rooms,no_bath,area(ftsq),id,units,stories,zip,age,Co-op,Condo,Rental Building,Single-Family Home,Doorman,Full-time Doorman,Elevator,Part-time Doorman,Cats and Dogs Allowed,Cats Only - No Dogs,Pets Allowed,ZIPCODE,SCORE
115,#PH1,7995000.0,3.0,3.5,2787,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
116,#PH2,7000000.0,3.0,3.5,2693,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
117,#PH4,7194955.0,3.0,3.5,2797,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
118,#PH5,6350000.0,3.0,3.5,2667,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
119,#PH6,4950000.0,3.0,3.5,2251,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
120,#PH7,39000.0,4.0,4.5,3298,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
123,#2,9500.0,3.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
124,#2,9500.0,3.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
125,#2A,6750.0,1.0,1.0,1275,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
126,#2A,6750.0,1.0,1.0,1275,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
127,#2B,11000.0,2.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
128,#2B,11000.0,2.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
129,#2F,7500.0,1.0,1.0,1150,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
130,#2F,7500.0,1.0,1.0,1150,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
131,#2R,11000.0,2.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
132,#2R,11000.0,2.0,2.0,2750,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
133,#3B,1750000.0,4.0,3.0,2922,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
134,#3B,1750000.0,4.0,3.0,2922,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
135,#5,7995000.0,4.0,5.0,4100,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
136,#5,7995000.0,4.0,5.0,4100,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
137,#PH,4000000.0,3.0,2.0,4200,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
138,#PH,4000000.0,3.0,2.0,4200,780728,9.0,6.0,10013.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10013.0,22.373751422430143
142,#308,2290.0,0.0,1.0,535,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
143,#401,4395.0,2.0,2.0,1100,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
144,#517,3392.0,2.0,1.0,750,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
145,#607,2752.0,3.0,2.0,1155,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
146,#616,2525.0,0.0,1.0,550,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
147,#625,4595.0,2.0,2.0,1100,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
148,#701,4885.0,2.0,2.0,1180,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
149,#708,2750.0,0.0,1.0,500,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
150,#710,3575.0,1.0,1.0,700,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
151,#714,2750.0,0.0,1.0,550,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
152,#715,3395.0,2.0,1.0,700,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
153,#809,3250.0,1.0,1.0,600,776902,344.0,25.0,10005.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10005.0,19.316167664670658
