,unit,status,no_rooms,no_bath,area(ftsq),id,date,price
9634,#18T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 04/26/2018 ,2713.0
9635,#18U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 03/31/2015 ,2899.0
9636,#18V,"Off-Market,rent",studio,1 bath,,776525, 05/07/2016 ,2685.0
9637,#18W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 07/12/2016 ,4086.0
9638,#18X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 09/11/2016 ,2753.0
9639,#18Y,"Off-Market,rent",studio,1 bath,584 ftsq,776525, 06/14/2012 ,2400.0
9640,#18Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 03/02/2018 ,3789.0
9641,#19A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 08/24/2018 ,5489.0
9642,#19E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 12/28/2017 ,4034.0
9643,#19G,"Off-Market,rent",1 bed,1 bath,750 ftsq,776525, 05/03/2018 ,3944.0
9644,#19J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 05/16/2018 ,3036.0
9645,#19K,"Off-Market,rent",studio,1 bath,924 ftsq,776525, 05/10/2018 ,3356.0
9646,#19L,"Off-Market,rent",1 bed,1 bath,667 ftsq,776525, 09/12/2015 ,3728.0
9647,#19M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 03/25/2013 ,6311.0
9648,#19P,"Off-Market,rent",studio,1 bath,557 ftsq,776525, 08/02/2018 ,3190.0
9649,#19Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 10/22/2018 ,3267.0
9650,#19R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 02/03/2017 ,3082.0
9651,#19S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 07/30/2018 ,3073.0
9652,#19T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 03/09/2013 ,3656.0
9653,#19U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 12/10/2018 ,3036.0
9654,#19X,"Off-Market,rent",studio,1 bath,419 ftsq,776525, 05/12/2016 ,2520.0
9655,#19Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 02/06/2013 ,4381.0
9656,#20,"Off-Market,rent",1 bed,1 bath,670 ftsq,776525, 11/27/2018 ,3888.0
9657,#20A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 04/25/2016 ,5611.0
9658,#20B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 11/14/2018 ,3767.0
9659,#20E,"Off-Market,rent",1 bed,1 bath,,776525, 04/13/2016 ,4153.0
9660,#20F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 01/10/2017 ,4323.0
9661,#20H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 02/13/2017 ,3775.0
9662,#20J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 07/17/2018 ,3368.0
9663,#20M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 12/19/2017 ,3904.0
9664,#20N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 04/30/2018 ,2812.0
9665,#20Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 09/08/2015 ,3206.0
9666,#20R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 01/20/2016 ,2895.0
9667,#20S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 05/22/2013 ,3617.0
9668,#20T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 02/08/2017 ,2824.0
9669,#20U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 02/13/2016 ,2864.0
9670,#20V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 05/09/2015 ,3080.0
9671,#20X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 05/10/2018 ,2541.0
9672,#20Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 02/20/2015 ,3225.0
9673,#T,"Off-Market,rent",studio,1 bath,,776525, 05/12/2011 ,2560.0
9674,#21A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 04/07/2017 ,5548.0
9675,#21AA,"Off-Market,rent",2 beds,2 baths,,776525, 03/06/2010 ,4179.0
9676,#21B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 09/26/2017 ,3694.0
9677,#21C,"Off-Market,rent",studio,1 bath,589 ftsq,776525, 01/10/2018 ,3266.0
9678,#21D,"Off-Market,rent",studio,1 bath,921 ftsq,776525, 07/27/2017 ,4094.0
9679,#21E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 12/28/2013 ,3578.0
9680,#21I,"Off-Market,rent",studio,1 bath,833 ftsq,776525, 08/28/2017 ,3994.0
9681,#21J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 04/28/2017 ,3195.0
9682,#21P,"Off-Market,sale",studio,1 bath,,776525, 02/20/2015 ,31025.0
9683,#21R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 10/16/2015 ,3052.0
9684,#21S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 06/15/2016 ,3167.0
9685,#21T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 07/06/2017 ,3108.0
9686,#21V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 03/22/2018 ,3162.0
9687,#21W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 04/11/2018 ,4104.0
9688,#21Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 05/14/2015 ,3192.0
9689,#21Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 02/20/2017 ,3644.0
9690,#22,"Off-Market,rent",2 beds,1 bath,"1,200 ftsq",776525, 08/28/2014 ,5800.0
9691,#22C,"Off-Market,rent",studio,1 bath,589 ftsq,776525, 02/03/2018 ,3282.0
9692,#22D,"Off-Market,rent",studio,1 bath,921 ftsq,776525, 08/18/2017 ,3872.0
9693,#22E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 01/23/2018 ,3953.0
9694,#22H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 09/21/2016 ,3759.0
9695,#22I,"Off-Market,rent",1 bed,1 bath,833 ftsq,776525, 07/21/2017 ,3994.0
9696,#22J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 07/12/2018 ,3368.0
9697,#22K,"Off-Market,rent",studio,1 bath,,776525, 09/18/2017 ,3689.0
9698,#22M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 02/05/2015 ,3916.0
9699,#22P,"Off-Market,rent",studio,1 bath,565 ftsq,776525, 11/17/2018 ,2760.0
9700,#22R,"Off-Market,rent",1 bed,1 bath,560 ftsq,776525, 02/01/2018 ,2860.0
9701,#22T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 03/25/2013 ,3719.0
9702,#22U,"Off-Market,rent",studio,1 bath,,776525, 02/23/2018 ,3079.0
9703,#22W,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 06/30/2015 ,4347.0
9704,#22X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 09/02/2015 ,2828.0
9705,#22Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 03/09/2018 ,3222.0
9706,#22Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 06/13/2017 ,3682.0
9707,#V,"Off-Market,rent",studio,1 bath,575 ftsq,776525, 01/16/2011 ,2450.0
9708,#23A,"Off-Market,sale",3 beds,3 baths,"1,875 ftsq",776525, 07/22/2013 ,12023.0
9709,#23B,"Off-Market,rent",2 beds,2 baths,"1,748 ftsq",776525, 03/01/2017 ,7036.0
9710,#23C,"Off-Market,rent",studio,1 bath,538 ftsq,776525, 06/09/2016 ,2927.0
9711,#23E,"Off-Market,rent",2 beds,1 bath,,776525, 04/17/2015 ,6785.0
9712,#23F,"Off-Market,rent",2 beds,2 baths,"1,485 ftsq",776525, 04/24/2017 ,6630.0
9713,#23G,"Off-Market,rent",2 beds,2 baths,"1,244 ftsq",776525, 05/12/2016 ,6311.0
9714,#23H,"Off-Market,rent",studio,1 bath,419 ftsq,776525, 03/20/2017 ,2509.0
9715,#23I,"Off-Market,rent",2 beds,2 baths,"1,418 ftsq",776525, 07/24/2015 ,6715.0
9716,#23K,"Off-Market,rent",studio,1 bath,910 ftsq,776525, 01/29/2016 ,3746.0
